01-05, Animal & Animal Products
030349, Bluefin (Thunnus thynnus)
030350, Herrings (Clupea harengus| Clupea pallasii)|excluding livers and roes
030360, Cod (Gadus morhua| Gadus ogac| Gadus macrocephalus)| Other fish| excluding livers and roes:
030371, Sardines (Sardina pilchardus| Sardinops spp)| sardinella (Sardinella spp)| brisling or sprats (Sprattus sprattus)
030372, Haddock (Melanogrammus aeglefinus)
030373, Atlantic pollock (Pollachius virens)
030374, Mackerel (Scomber scombrus| Scomber australasicus| Scomber japonicus)
030375, Dogfish and other sharks| Dogfish (Squalus spp)
030376, Eels (Anguilla spp)
030377, Sea bass (Dicentrarchus labrax| Dicentrarchus punctatus)
030378, Whiting (Merluccius spp) and hake (Urophycis spp)
030379, Tilapia (Tilapiinae)| Mullet| Monkfish (Lophius spp)| Butterfish| Sablefish (Anoplopoma fimbria)
030380, Livers and roes Sturgeon roe| Herring roe| Salmon roe Alaska pollock (Theragra chalcogramma) roe Mullet roe
0304, fish fillets & other fish meat| fresh| chill or froz
030410, Fresh or chilled: Tilapia (Tilapiinae)
030420, Frozen fillets: Cod Halibut| Fresh-water catfish| Tilapia (Tilapiinae) Alaska pollock (Theragra chalcogramma)
030490, Other: Minced: Surim| Alaska pollock (Theragra chalcogramma)
0305, fish| dried| salted etc| smoked etc| ed fish meal
030510, Flours| meals and pellets of fish| fit for human consumption
030520, Livers and roes| dried| smoked| salted or in brine| Salmon roe| Herring roe
030530, Fish fillets| dried| salted or in brine| but not smoked smoked fish| including fillets:
030541, Pacific salmon (Oncorhynchus spp)| Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
030542, Herrings (Clupea harengus| Clupea pallasii)
030549, Other| Dried fish| whether or not salted but not smoked:
030551, Cod (Gadus morhua| Gadus ogac| Gadus macrocephalus)
030559, Other Fish| salted but not dried or smoked and fish in brin
030561, Herrings (Clupea harengus| Clupea pallasii)
030562, Cod (Gadus morhua| Gadus ogac| Gadus macrocephalus)
030563, Anchovies (Engraulis spp)
030569, Other Fish (Salted or in Brine)
0306, crustaceans| live| fresh etc| and cooked etc.
030611, Rock lobster and other sea crawfish (Palinurus spp| Panulir spp| Jasus spp)
030622, Lobsters (Homarus spp)
030623, Shrimps and prawns
030624, Crabs: Crabmeat
030629, Other| including flours| meals and pellets of crustaceans| fit for human consumption
0307, molluscs & aquatic invertebrates nesoi| live etc
030710, Oysters:
030712, Seed oysters liters
030714, Other| Scallops| including queen scallops| of the genera Pecten| Chlamys or Placopecten:
030721, Live| fresh or chilled
030729, Other| Mussels (Mytilus spp| Perna spp): Live| fresh or chilled:
030731, Farmed| Cuttle fish (Sepia officinalis| Rossia macrosoma|Sepiola spp) and squid (Ommastrephes spp| Loligo spp| Nototodarus spp| Sepioteuthis spp):
030741, Live| fresh or chilled: Squid: Loligo
030749, Squid: Frozen fillets| Loligo: Loligo opalescens| Loligo pealei| Octopus (Octopus spp):
030751, Live| fresh or chilled
030760, Snails| other than sea snails| Other| including flours| meals and pellets of aquatic invertebrates other than crustaceans| fit for human consumption:
030791, Live| fresh or chilled: Sea urchin: Roe| Conch
030799, Other: Clams
04, Dairy| eggs| honey| & ed. Products
0401, milk and cream| not concentrated or sweetened
040110, Of a fat content| by weight| not exceeding 1 percent liters
040120, Of a fat content| by weight| exceeding 1 percent but not exceeding 6 percent liters
040130, Of a fat content| by weight| exceeding 6 percent liters
0402, milk and cream| concentrated or sweetened
040210, In powder| granules or other solid forms| of a fat content|by weight| not exceeding 15 percent In powder| granules or other solid forms| of a fat content| by weight| exceeding 15percent
040221, Not containing added sugar or other sweetening matter
040229, Milk| Cream (Sweetened| Fat Content Exceeding 1.5%)
040291, Not containing added sugar or other sweetening matter
040299, Milk| Cream (Concentrated or Sweetened)
0403, buttermilk| yogurt| kephir etc| flavored etc or not
040310, Yogurt
040390, Buttermilk| Curdled Milk and Cream| Kephir| Other Fermented Milk| Cream
0404, whey & milk products nesoi| flavored etc. or not
040410, Whey and modified whey| whether or not concentrated or containing added sugar or other sweetening matter: Modified whey: Whey protein concentrates.
040490, Other Products Consisting of Natural Milk Constituents
0405, butter and other fats and oils derived from milk
040500, Butter and other fats and oils derived from milk: Butter| Anhydrous milk fat
0406, cheese and curd
040610, Fresh (unripened or uncured) cheese| including whey cheese| and curd
040620, Grated or powdered cheese| of all kinds
040630, Processed (process) cheese| not grated or powdered
040640, Blue-veined cheese
040690, Other cheese: Cheddar cheese| Colby| Other| including mixtures
0407, birds' eggs| in the shell| fresh| preserved or cooked
040700, Birds' eggs| in shell| fresh| preserved or cooked:
040720, For hatching Doz
040740, Other Doz
0408, birds' eggs| not in shell & yolks| fresh| dry| etc
040811, Egg Yolks (Dried)
040819, Egg Yolks (Fresh| Frozen| Other Preserved; Not Dried)
040899, Birds' Eggs (Not in Shell; Frozen| Preserved or Cooked)
0409, honey| natural
040900, Natural honey:
040920, Packaged for retail sale
040950, Other Packaged for retail sale
0410, edible products of animal origin| nesoi
05, Products of animal origin
0501, human hair| unworked and waste of human hair
050100, Human hair| unworked| whether or not washed or scoured; waste of human hair
0502, hogs' hair etc| badger hair etc| waste hair etc.
050210, Pigs', hogs' or boars' bristles and hair and waste thereof
050290, Badger Hair and Other Brushmaking Hair and Thereof Waste
0503, horsehair and horsehair waste
050300, Horsehair (as defined in note 4) and horsehair waste| whether or not put up as a layer with or without supporting material
0504, animal (not fish) guts| bladders| stomachs & parts
050400, Guts| bladders and stomachs of animals (other than fish)| whole and pieces thereof: Prepared for use as sausage casings:
050420, Hog
050440, Guts| Bladders and Stomachs of Animals (Other than Fish)
0505, bird skins & other feathered parts and down
050590, Skins and Other Parts of Birds With Their Feather; Their Powder and Waste
050592, Feather meal
0506, bones & horn cores| unworked etc| powder & waste
050610, Ossein and bones treated with acid
050690, Bones| Horn-cores (Unworked| Defatted| Degelatinized); Powder and Waste
0507, ivory| tortoise-shell| whalebone| horns etc| unwrk
050710, Ivory; ivory powder and waste
050790, Tortoise-shell| Whalebone| Antlers| Hooves| Claws; Their Powder and Waste
0508, coral| shell of molluscs etc unworked powder/waste
050800, Coral and similar materials| unworked or simply prepared but not otherwise worked; shells of molluscs|crustaceans or echinoderms and cuttlebone| unworked or simply prepared but not cut to shape; powder and waste thereof
0509, natural sponges of animal origin
050900, Natural sponges of animal origin
0510, ambergris| castoreum etc| glands etc for pharmacy
0511, animal products nesoi| dead animals| inedible etc.
051110, Bovine (bull) semen
051191, Products of fish or crustaceans| molluscs or other aquatic invertebrates; dead animals of chapter 3
051199, Cattle embryos: Dairy cattle No| Other cattle No
06-15, Vegetable Products
06, Live trees & other plants
0601, bulbs| tubers etc| chicory plants & roots nesoi
060110, Bulbs| tubers| tuberous roots| corms| crowns and rhizomes| dormant No
060120, Bulbs| tubers| tuberous roots| corms| crowns and rhizomes| in growth or in flower; chicory plants and roots No
0602, live plants nesoi| cuttings etc., mushroom spawn
060210, Unrooted cuttings and slips
060220, Trees| shrubs and bushes| grafted or not| of kinds which bear edible fruit or nuts
060230, Rhododendrons and azaleas| grafted or not
060240, Roses| grafted or not
060291, Mushroom spawn
060299, Herbaceous perennials: Orchid plants| with soil attached to roots: Chrysanthemums No| Trees and No| Poinsettias No
0603, cut flowers & buds for bouquet etc., prepared
060310, Fresh
060390, Cut Flowers and Flower Buds (Dried| Dyed| Bleached| Otherwise Prepared)
0604, foliage| grasses etc for bouquets etc| prepared
060410, Mosses and lichens
060491, Fresh
060499, Foliage| Branches| Other Parts of Plants; Grass (Dried| Otherwise Prepared)
07, Edible vegetables
0701, potatoes (except sweet potatoes)| fresh or chilled
070110, Seed
070190, Other Potatoes (Fresh or Chilled)
0702, tomatoes| fresh or chilled
070200, Tomatoes| fresh or chilled
070210, Cherry
070230, Roma (plum type)
0703, onions| shallots| garlic| leeks etc| fr or chilled
070310, Onions and shallots: Onion sets
070320, Garlic
070390, Leeks and other alliaceous vegetables
0704, cabbages| cauliflower| kale etc| fresh or chilled
070410, Cauliflower and headed broccoli (Brassica oleracea| var botrytis)
070420, Brussels sprouts
070490, Other (including sprouting broccoli| (Brassica oleracea var italica)| Cabbage| Broccoli
0705, lettuce and chicory| fresh or chilled
070511, Head lettuce (cabbage lettuce)
070519, Other| Chicory
070521, Witloof chicory (Cichorium intybus var foliosum)
070529, Other Chicory (Fresh or Chilled)
0706, carrots| turnips & other edible roots| fr or chill
070610, Carrots and turnips
070690, Other Edible Roots (Fresh or Chilled
0707, cucumbers and gherkins| fresh or chilled
070700, Cucumbers and gherkins| fresh or chilled
0708, leguminous vegetables| shelled or not| fr or chill
070810, Peas (Pisum sativum)
070820, Beans (Vigna spp| Phaseolus spp)
070890, Other leguminous vegetables
0709, vegetables nesoi| fresh or chilled
070910, Globe artichokes
070920, Asparagus
070930, Eggplants (aubergines)
070940, Celery other than celeriac| Mushrooms and truffles:
070951, Mushrooms
070952, Truffles
070960, Fruits of the genus Capsicum (peppers) or of the genus Pimenta (eg| allspice)
070970, Spinach| New Zealand spinach and orache spinach (garden spinach)
070990, Sweet corn
0710, vegetables (raw or cooked by steam etc)| frozen
071010, Potatoes| Leguminous vegetables| shelled or unshelled
071021, Peas (Pisum sativum)
071022, Beans (Vigna spp| Phaseolus spp)
071029, Other Leguminous Vegetables (Uncooked| Cooked By Steaming or Boiling In)
071030, Spinach| New Zealand spinach and orache spinach (garden spinach)
071040, Sweet corn
071080, Other vegetables
071090, Mixtures of vegetables
0711, vegetables| temporarily preserved| not now edible
071110, Onions
071120, Olives
071130, Capers
071140, Cucumbers and gherkins
071190, Other vegetables; mixtures of vegetables
0712, vegetables| dried| whole| cut etc., no added prep
071210, Potatoes whether or not cut or sliced but not further prepared
071220, Onions: Powder or flour
071230, Mushrooms and truffles
071290, Other vegetables; mixtures of vegetables: Garlic: Powder or flour Sweet corn seeds of a kind used for sowing Other vegetables; mixtures of vegetables
0713, leguminous vegetables| dried shelled
071310, Peas (Pisum sativum): Seeds of a kind used for sowing Split peas| Green peas| Yellow peas| Austrian winter peas
071320, Chickpeas (garbanzos)| Seeds of a kind used for sowing| Beans (Vigna spp| Phaseolus spp):
071331, Beans of the species Vigna mungo (L) Hepper or Vigna radiata (L) Wilczek: Seeds of a kind used for sowing
071332, Small red (adzuki) beans (Phaseolus or Vigna angularis)|Seeds of a kind used for sowing
071333, Kidney beans| including white pea beans (Phaseolus vulgaris): Seeds of a kind used for sowing| Navy or pea beans| Dark red kidney beans| Light red kidney beans
071339, Seeds of a kind used for sowing| Cowpeas| Black beans| Great northern beans| Baby lima beans Other lima beans| Pinto beans| Other white beans
071340, Lentils: Seeds of a kind used for sowing
071350, Broad beans (Vicia faba var major) and horse beans (Vicia faba var equina and Vicia faba var minor):Seeds of a kind used for sowing
071390, Seeds of a kind used for sowing
0714, cassava arrowroot etc fresh or dry: sago pith
071410, Cassava (manioc)
071420, Sweet potatoes
071490, Other Roots and Tubers With High Starch or Inulin Content; Sago Pith
08, Ed. Fruits & nuts| peel of citrus/melons
0801, coconuts| brazil nuts & cashew nuts| fresh or dry
0802, nuts nesoi| fresh or dried
0803, Bananas and plantains| fresh or dried
0804, dates| figs| pineapples| avocados etc| fr or dried
0805, citrus fruit| fresh or dried
0806, grapes| fresh or dried
0807, melons and papayas| fresh
0808, apples| pears and quinces| fresh
0809, apricots| cherries| peaches| plums & sloes| fresh
0810, fruit nesoi| fresh
0811, fruit & nuts (raw or cooked by steam etc)| frozen
0812, fruit & nuts temporarily preserved| not now edible
0813, fruit dried nesoi| mixtures of nuts or dried fruit
0814, peel| citrus or melon| fresh| frzn| dried| provsl pres
09, Coffee| tea| mate & spices
0901, coffee| coffee husks etc| substitutes with coffee
0902, tea
0903, mate
0904, pepper| genus piper| genus capsicum or pimenta
0905, vanilla beans
0906, cinnamon and cinnamon-tree flowers
0907, cloves (whole fruit| cloves and stems)
0908, nutmeg| mace and cardamoms
0909, seeds| anise| badian| fennel| coriander| cumin etc
0910, ginger| saffron| tumeric| thyme| bay leaves etc
10, Cereals
1001, wheat and meslin
1002, rye in the grain
1003, barley
1004, oats
1005, corn (maize)
1006, rice
1007, grain sorghum
1008, buckwheat| millet & canary seed| cereals nesoi
11, Milling industry products
1101, wheat or meslin flour
1102, cereal flours| except of wheat or of meslin
1103, cereal groats| meal and pellets
1104, cereal grains| worked etc nesoi| cereal germs| wrk
1105, flour| meal and flakes of potatoes
1106, flour & meal of dry| legum vegs| sago| fruit etc.
1107, malt| whether or not roasted
1108, starches| inulin
1109, wheat gluten| whether or not dried
12, Oil seeds/misc. Grains/med. Plants/straw
1201, soybeans| whether or not broken
1202, peanuts (ground-nuts)| raw
1203, copra
1204, flaxseed (linseed)| whether or not broken
1205, rape or colza seeds| whether or not broken
1206, sunflower seeds| whether or not broken
1207, oil seeds & oleaginous fruits nesoi| broken or not
1208, flour & meal of oil seed & olea fruit (no mustard)
1209, seeds| fruit and spores| for sowing
1210, hop cones| fresh or dried| lupulin
1211, plants etc for pharmacy| perfume| insecticides etc
1212, locust beans| seaweed| s beet & cane: fruit pits etc.
1213, Cereal straw & husks unprep w/n chop etc or pellet
1214, rutabagas| hay| clover & other forage products
13, Lac| gums| resins| etc.
1301, lac| natural gums| resins| gum-resins and balsams
1302, veg saps & extracts: pectates etc: agar-agar etc.
14, Vegetable plaiting materials
1401, vegetable plaiting materials (bamboos| reeds etc.)
1402, veg materials (kapok etc) for stuffing or padding
1403, veg materials (broom corn etc) for brooms & brushes
1404, vegetable products nesoi
15, Animal or vegetable fats| oils & waxes
1501, lard| other pig fat and poultry fat| rendered
1502, fats| bovine| sheep or goat| raw or rendered
1503, lard stearin/lard oil/etc not emulsified or preprd
1504, fats & oils| their fractions| fish & marine mammal
1505, wool grease & fatty substances derived therefrom
1506, animal fat & oil & reaction nesoi not chem modified
1507, soybean oil & its fractions| not chemically modified
1508, peanut oil & its fractions| not chemically modified
1509, olive oil & its fractions| not chemically modified
1510, olive-residue oil & blends (1509 & 1510) not chem mod
1511, palm oil & its fractions| not chemically modified
1512, sunflower-seed| safflower or cottonseed oil| not ch mod
1513, coconut| palm kernel or babassu oil etc| not ch mod
1514, rapeseed| colza or mustard oil etc| not chem modif
1515, fixed veg fats & oils nesoi etc| not chem modified
1516, an or veg fats & oils| hydrogen etc| not fur prep
1517, margarine| edible mixtures etc an or veg fat & oil
1518, animal/veg fats & oils chem modified| inedbl mxt etc
1519, ind monocarb fat acids| acid oil| ref| ind fat alc
1520, glycerol (glycerine)| glycerol waters and lyes
1521, veg waxes nesoi| beeswax etc and spermaceti
1522, degras| residues from fatty substances/animal/veg waxs
